name,coordenada,lat,lon
Parqueadero,"6.261307268150104, -75.49466390624167",6.261307268,-75.49466391
Taquilla de Ingreso,"6.26176396002569, -75.49458037302855",6.26176396,-75.49458037
Silleta 1,"6.262306879917565, -75.49513940299326",6.26230688,-75.4951394
Silleta 2,"6.2630797413895145, -75.49412415317168",6.263079741,-75.49412415
Vivero,"6.262460174855128, -75.49396029956132",6.262460175,-75.4939603
Huerto Circular,"6.26321387425993, -75.4940663224853",6.263213874,-75.49406632
Tirolina,"6.262782732787993, -75.49368721021037",6.262782733,-75.49368721
Silleta 3,"6.26463823543776, -75.49497876219316",6.264638235,-75.49497876
Zona de Comida,"6.264893725827515, -75.49493699558694",6.264893726,-75.494937
Juegos Infantiles,"6.264874564053538, -75.49501089035238",6.264874564,-75.49501089
Casa en el Arbol,"6.264820272356806, -75.49491450587571",6.264820272,-75.49491451
Tobogán Seco,"6.264797916950624, -75.49501731598416",6.264797917,-75.49501732
Silleta 4,"6.265682551585728, -75.49511048764484",6.265682552,-75.49511049
Guaca,"6.266672574141251, -75.4953835769961",6.266672574,-75.49538358
Primeros Auxilios,"6.266787544378367, -75.49502052880064",6.266787544,-75.49502053
Frutera,"6.266845029487441, -75.49499482627351",6.266845029,-75.49499483
Silleta 5,"6.267065945151468, -75.49474376919747",6.267065945,-75.49474377
Tobogán Seco,"6.267203160367422, -75.49523519224489",6.26720316,-75.49523519
Casa en el Arbol,"6.267192183151473, -75.49515236813578",6.267192183,-75.49515237
Saltamontes,"6.267093388197549, -75.49500328473935",6.267093388,-75.49500328
Arboreto,"6.267290978086696, -75.49506402241938",6.267290978,-75.49506402
Arbol de las buenas historias,"6.268092314122144, -75.49565483439582",6.268092314,-75.49565483
Silleta 6,"6.268262460649801, -75.49597508761772",6.268262461,-75.49597509
Juegos Infantiles,"6.268339300998931, -75.49603582529775",6.268339301,-75.49603583
Tobogán Seco,"6.268311858018407, -75.4959143499377",6.268311858,-75.49591435
Casa en el Arbol,"6.268339300998931, -75.49608551976321",6.268339301,-75.49608552
Juegos Infantiles,"6.268256972052996, -75.49632847048329",6.268256972,-75.49632847
Silleta 7,"6.268322835210795, -75.4964333810215",6.268322835,-75.49643338
Casa en el Arbol,"6.2684216299318765, -75.49652724834517",6.26842163,-75.49652725
Mina de los Valores,"6.268487493068887, -75.49653829155972",6.268487493,-75.49653829
Juegos Infantiles,"6.268608242131782, -75.49674259102886",6.268608242,-75.49674259
Casa en el Arbol,"6.2687180139828875, -75.4967757206725",6.268718014,-75.49677572
Mirador Volcán,"6.268734479758569, -75.49681437192342",6.26873448,-75.49681437
Tobogán Seco,"6.268679593837634, -75.49647203227242",6.268679594,-75.49647203
Volcan,"6.268833274401689, -75.49675363424342",6.268833274,-75.49675363
Carriquíes,"6.268866205945228, -75.49666528852703",6.268866206,-75.49666529
Parada de Bus,"6.2646308264582204, -75.49482726249674",6.264630826,-75.49482726
Kiosco 1,"6.26454849692714, -75.49410945355108",6.264548497,-75.49410945
Casa en el Arbol,"6.263011676630073, -75.49113330723023",6.263011677,-75.49113331
Tobogán Seco,"6.262857994351521, -75.49105048312111",6.262857994,-75.49105048
Aventura Comfama,"6.261458385764879, -75.48965903807284",6.261458386,-75.48965904
Parada de Bus,"6.261249816326871, -75.48989646718563",6.261249816,-75.48989647
Helados,"6.26107417884076, -75.48976394861104",6.261074179,-75.48976395
Restaurante,"6.266219913548918, -75.49657810958882",6.266219914,-75.49657811
"Salon 1 al 6, CiemPies","6.266675468665596, -75.49679345227253",6.266675469,-75.49679345
